반도체,IT 서비스,전기와전자제품,디스플레이,하드웨어,에너지 장비 및 서비스,석유와 가스,에너지,전기유틸리티,가스유틸리티,복합유틸리티,독립 전력 생산 및 에너지 거래,유틸리티,전기통신 서비스,미디어와 엔터테인먼트,커뮤니케이션,식품과 기본 식료품 소매,음식료품,가정용품과 개인용품,은행,증권,다각화된 금융,보험,부동산,화학,포장재,비철금속,철강,종이와 목재,자본재,상업서비스와 공급품,운송,자동차와 부품,내구소비재와 의류,"호텔, 레스토랑, 레저 등",소매(유통),교육서비스,건강관리와 서비스,제약과 생물공학
엘디티,중앙디앤엠,천보,선익시스템,파인엠텍,,,,,,,,,,SBS콘텐츠허브,,빙그레,우양,,,,롯데손해보험,,,원일특강,연우,,동국알앤에스,송원산업,이화공영,범한퓨얼셀,남광토건,화신,인디에프,평화산업,롯데쇼핑,,카이노스메드,JW중외제약
와이아이케이,안랩,에코프로비엠,디바이스이엔지,팸텍,,,,,,,,,,와이지엔터테인먼트,,SPC삼립,한국맥널티,,,,다우데이타,,,백광산업,삼화왕관,,유에스티,동양에스텍,HDC,나이스디앤비,퍼시스,세우글로벌,화승알앤에이,손오공,광주신세계,,일양약품,일성신약
아진엑스텍,로지시스,덕우전자,파인디앤씨,KH바텍,,,,,,,,,,넷마블,,대한제당,대주산업,,,,상상인,,,금비,효성화학,,대동스틸,서원,세방,인화정공,대동,유니온머티리얼,원익,아이비김영,아난티,,씨엔알리서치,씨티씨바이오
프로텍,한국정보인증,해성옵틱스,유아이디,솔루스첨단소재,,,,,,,,,,캐리소프트,,농심홀딩스,사조동아원,,,,한국금융지주,,,효성첨단소재,TCC스틸,,동국S&C,와이엠티,삼일,다스코,케이에스피,신영와코루,씨티케이,대교,부산주공,,동화약품,조아제약
미래산업,한국전자인증,더블유씨피,풍원정밀,유티아이,,,,,,,,,,엠게임,,모나리자,대한제분,,,,TS인베스트먼트,,,삼아알미늄,이구산업,,디씨엠,대양금속,대창단조,아이에스동서,KTcs,디케이앤디,롯데쇼핑,골드앤에스,방림,,동아에스티,바이오인프라
우리이앤엘,비투엔,LG전자,세진티에스,세코닉스,,,,,,,,,,엔피,,샘표,미래생명자원,,,,SBI인베스트먼트,,,황금에스티,깨끗한나라,,한국특강,현대제철,SG,HD현대건설기계,SK렌터카,한국화장품제조,아난티,베뉴지,한독크린텍,,얼라인드,알리코제약
엔투텍,코난테크놀로지,탑머티리얼,비아트론,노바텍,,,,,,,,,,이노션,,크라운해태홀딩스,팜스코,,,,푸른저축은행,,,송원산업,태경비케이,,세아제강,대영포장,롯데지주,에스비비테크,한국공항,DH오토웨어,실리콘투,로보로보,신성통상,,JW생명과학,코아스템켐온
덕산하이메탈,성문전자,세경하이테크,핌스,기가레인,,,,,,,,,,티비씨,,현대코퍼레이션홀딩스,풀무원,,,,우리종금,,,동일산업,동국알앤에스,,대호특수강,하이스틸,현대로템,유진로봇,SK,인디에프,방림,YBM넷,호텔신라,,싸이토젠,차백신연구소
티이엠씨,휴네시온,제이앤티씨,포인트엔지니어링,현우산업,,,,,,,,,,밸로프,,케이엠제약,이지바이오,,,,한화손해보험,,,서원,삼보산업,,동일철강,대림제지,한화오션,웰크론한텍,조광페인트,화승알앤에이,코스메카코리아,케이비아이동국실업,세동,,휴메딕스,HLB테라퓨틱스
큐에스아이,엠브레인,삼양옵틱스,아바코,코맥스,,,,,,,,,,인크로스,,DSEN,이지홀딩스,,,,신한지주,,,와이엠티,대동스틸,,대창스틸,대정화금,사람인,태웅로직스,삼영엠텍,원익,신성통상,한섬,아이스크림에듀,,비피도,환인제약
러셀,콤텍시스템,아이디스,피엔에이치테크,덕우전자,,,,,,,,,,아센디오,,샘표식품,동우팜투테이블,,,,코리아에셋투자증권,,,이화산업,동국S&C,,POSCO홀딩스,한국내화,세진중공업,선광,한진,씨티케이,호텔신라,KG모빌리티,금호에이치티,,테라젠이텍스,세운메디칼
코미코,인포뱅크,알로이스,디이엔티,와이솔,,,,,,,,,,NEW,,보해양조,농심,,,,한화생명,,,하이스틸,나노씨엠에스,,KG스틸,오공,일승,삼표시멘트,아시아나항공,태원물산,세동,ES큐브,메가스터디교육,,JW중외제약,지노믹트리
파두,KG모빌리언스,나무가,이브이첨단소재,해성옵틱스,,,,,,,,,,바른손이앤에이,,우양,선진,,,,스톤브릿지벤처스,,,대정화금,삼영,,,한솔제지,에스원,티웨이홀딩스,제이오,이상네트웍스,아이스크림에듀,모다이노칩,대유에이텍,,디알젬,아미노로직스
케이피에스,모아데이타,대주전자재료,한국컴퓨터,세경하이테크,,,,,,,,,,스카이문스테크놀로지,,신송홀딩스,빙그레,,,,케이프,,,태경산업,금양,,,경농,비나텍,효성,HDC현대산업개발,아난티,금호에이치티,정상제이엘에스,서연탑메탈,,일성신약,보령
에이엘티,핑거,이미지스,이녹스첨단소재,제이앤티씨,,,,,,,,,,예림당,,한국맥널티,창해에탄올,,,,교보증권,,,CS홀딩스,영보화학,,,엠투엔,효성중공업,쎄트렉아이,아스트,부산주공,청담글로벌,브랜드엑스코퍼레이션,GS리테일,,이글벳,고바이오랩
파인텍,시큐센,필에너지,신도기연,삼양옵틱스,,,,,,,,,,갤럭시아에스엠,,크라운제과,샘표식품,,,,삼성증권,,,오공,세림B&G,,,포스코스틸리온,DL이앤씨,삼성엔지니어링,레인보우로보틱스,방림,한국화장품,크레버스,풍강,,씨티씨바이오,제놀루션
